pair_id,decision,confidence,protocol,reason_codes,total_latency_s
1ec300cfe445271d,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,13.03
68ebd5c385cf717c,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,13.44
b18c1461a131a018,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MODEL_HIGH_P,13.98
c66eca52a3bba463,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,14.52
6298eadd9f8938a8,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_MISSING;MUNICIPALITY_STRONG;MODEL_HIGH_P,8.09
230bb06c39ffc3cf,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P;DOB_WEAK,6.52
aedb11e862038639,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P;DOB_WEAK,9.95
76edf32fa2e50341,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK,8.2
0e99db3ff16dde35,MATCH,0.92,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,8.45
3312f130a5485666,MATCH,0.85,consensus,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P;HIGH_SCORE_ANCHOR,8.12
d60cbc01544facc3,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,10.77
6bf66148fc7947c9,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,6.33
5839695b58d416d8,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,7.01
3e236cdcd254de1d,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MOTHER_MISSING;MODEL_HIGH_P,6.5
185635d790a6dae0,MATCH,0.85,consensus,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P;DOB_WEAK,10.41
54f61791e8151f4b,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P,8.38
18bc54c1eb7f08a3,MATCH,0.75,consensus,NAME_STRONG;MOTHER_MISSING;MODEL_HIGH_P;MUNICIPALITY_STRONG,6.7
41184f2cc11d187f,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P;MOTHER_MISSING,7.22
6f83b3c278c0a802,MATCH,0.78,consensus,NAME_STRONG;MUNICIPALITY_STRONG;HIGH_SCORE_ANCHOR;MODEL_HIGH_P;DOB_WEAK,5.91
8d07474822d3db9d,MATCH,0.85,consensus,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_HIGH_P;HIGH_SCORE_ANCHOR,8.75
03eae2201e1affdf,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,7.02
e33cb78b497b0b4b,MATCH,0.85,consensus,HIGH_SCORE_ANCHOR;NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK,6.91
7bdaa1762b9e3e2d,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,6.98
68d601597f85de96,MATCH,0.85,consensus,NAME_STRONG;MUNICIPALITY_STRONG;HIGH_SCORE_ANCHOR;MODEL_AMBIGUOUS,7.95
fdf1883a00b91d87,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;HIGH_SCORE_ANCHOR,6.25
6a4a694e989badb4,MATCH,0.72,arbiter,NAME_STRONG;MUNICIPALITY_STRONG;HIGH_SCORE_ANCHOR;DOB_WEAK;CONFLICTING_SIGNALS,9.97
edbe36e551b051e7,MATCH,0.85,consensus,NAME_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,6.86
91387b9525707c86,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.27
40cd5e3ac225ccbe,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;CONFLICTING_SIGNALS,7.38
6c0b3deb773c59ff,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.78
5e959d56a6716813,MATCH,0.72,arbiter,NAME_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,13.2
1647760dbe45ba32,MATCH,0.82,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.52
9704ba2715e0fe4d,MATCH,0.82,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.19
a52e74c4631c7076,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.31
73a8c349e304c9a2,MATCH,0.72,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS,13.02
80d4d5b352c586f7,MATCH,0.82,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,13.01
e2032707ce73c236,UNSURE,0.6,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,13.03
3958030d129c4542,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,9.06
db84c63ecbc1a1f9,UNSURE,0.5,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,14.73
105fcb090528c4b9,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,9.53
35e8ff6e95c6034c,UNSURE,0.5,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.69
be84bdebaa97f7f6,MATCH,0.82,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.16
b73a9e71c13238dd,UNSURE,0.5,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,13.42
0aa28eb4e460292d,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.34
0b8cc5ef052569ce,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.42
4a6df8a51d1e92af,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.38
999d90b4a39c024b,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.64
6b424a39d04343cf,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.19
3049e472f4e1f648,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,7.41
443f76099bec1d4e,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.56
96486f6a688db133,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_MISSING;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,9.97
2e50eb9fb0bd3336,MATCH,0.78,arbiter,NAME_STRONG;MUNICIPALITY_STRONG;HIGH_SCORE_ANCHOR;MOTHER_MISSING;MODEL_AMBIGUOUS,12.17
a4bc96709fc2788d,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.25
93d76cb203962e97,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.88
68462f832f7c8242,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.75
65a583209f566560,MATCH,0.78,arbiter,NAME_STRONG;MUNICIPALITY_STRONG;MOTHER_MISSING;MODEL_AMBIGUOUS,12.88
763f467487c3aa27,UNSURE,0.55,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.41
0a0a1f2cbafcccb3,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.62
1506f7a62b6f3891,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.58
f8d89350df862298,UNSURE,0.45,consensus,CONFLICTING_SIGNALS;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR,8.97
00639b6bea1021b6,MATCH,0.72,arbiter,NAME_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS,11.97
97fca3eab7bb42a1,UNSURE,0.45,consensus,CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS,7.86
c86c1182fb4253c7,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.92
fdfc46122b7b8d34,UNSURE,0.45,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,9.66
90d8ee7503d6687d,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.23
694e07c52992fab7,UNSURE,0.55,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.22
d316fb601b385db2,MATCH,0.75,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;CONFLICTING_SIGNALS,19.19
907f59daa73208c2,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.38
d289caf757dead3d,MATCH,0.82,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS,16.47
a4422a352b921423,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.97
659f1d6dcfb6f289,MATCH,0.82,arbiter,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,15.34
187eb2bc8c6f2469,NONMATCH,0.35,arbiter,CONFLICTING_SIGNALS;NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;MOTHER_STRONG,15.73
e2eeb5fa051089e4,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.41
505b2463be93b4fa,UNSURE,0.45,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,13.75
0e39bad428497d9a,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,9.88
3716acad52cb2067,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.19
e36cc8936bc21375,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,12.88
7c18bf2a3d23bf5e,UNSURE,0.45,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,12.36
cab36534008063dd,MATCH,0.85,consensus,NAME_STRONG;MOTHER_MISSING;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,12.14
105e5013d6044604,NONMATCH,0.78,arbiter,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,12.77
91cd6dbbea3f2b64,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MOTHER_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.75
617e0bd1ab5cb30c,MATCH,0.82,arbiter,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,19.8
9136c80b561eb68a,UNSURE,0.55,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,16.06
f2cf139cc9258116,NONMATCH,0.78,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,15.56
9766aa1eb2aceedc,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.09
72f84e0b2285e7c0,NONMATCH,0.72,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.91
fc1e537a68ced686,UNSURE,0.45,consensus,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.66
bab16cd9a4514783,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG,23.67
5ca096a3eca04448,NONMATCH,0.7,arbiter,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,15.27
11f48ee1d5098b91,NONMATCH,0.25,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.8
87d571a3d07428f0,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,8.44
519740d1f2780c89,UNSURE,0.55,arbiter,NAME_STRONG;MOTHER_STRONG;MUNICIPALITY_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,20.22
8b1e3e78e5b86a42,NONMATCH,0.75,consensus,DOB_WEAK;LOW_SCORE_ANCHOR;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.98
8d44857017e4003a,NONMATCH,0.72,arbiter,NAME_STRONG;DOB_WEAK;MOTHER_MISSING;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,11.84
dbdf53b5a2d146aa,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,9.05
f5bff3dff040af86,NONMATCH,0.72,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,13.19
c6fe670ff2555622,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,7.5
c07c6eb4dbc8757a,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,13.7
1b1d9e6fc7ec30fc,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,12.31
1e47a5a6c7902572,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG,13.39
daab90d38775e694,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,8.38
e25db2fe472d1db9,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,5.69
be557a4c9933e1d6,NONMATCH,0.78,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,12.23
00a7f5cfb7be3754,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,11.41
2b3bba2edd07ff72,UNSURE,0.45,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;MOTHER_STRONG,11.89
868c7a1ca2d811eb,NONMATCH,0.85,arbiter,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,12.19
6897279948972877,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.28
3ea4d5dca561162a,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG,8.25
d308e525b9c6cff3,NONMATCH,0.85,consensus,DOB_WEAK;LOW_SCORE_ANCHOR;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,4.95
0442d582e5746a53,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,9.75
1b7068c39296180a,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,8.7
27b9a9f2f79fe545,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,8.52
c92148cf548bdf47,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,8.3
d2a573744b794807,NONMATCH,0.85,consensus,DOB_WEAK;LOW_SCORE_ANCHOR;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,5.44
9f8f003f310a016e,NONMATCH,0.85,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.09
ba4ab8a876ae9f27,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG,6.34
c5b7c6f9d4c12994,NONMATCH,0.72,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.45
25672f258321843c,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,8.7
ba7ad41e3f7efdd1,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,5.55
d24575e4d701a9e7,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.75
b0f99dae26f3addb,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG,23.16
54c6de904cd30f6f,NONMATCH,0.75,consensus,LOW_SCORE_ANCHOR;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.16
3ad9e41839829039,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,6.33
f659c20b80dc282a,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,18.2
9e56fef3a882dfdd,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,5.12
dff32efe5e8deb74,NONMATCH,0.72,arbiter,NAME_STRONG;MOTHER_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,48.44
4d2f28145502e5b7,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,6.95
10f7d5531ed5ecd5,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,6.11
bb1551e73c280c71,MATCH,0.85,consensus,DOB_STRONG;MUNICIPALITY_STRONG;NAME_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,16.03
9b0c8207ed1defdb,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,16.97
20e06089711aa39e,NONMATCH,0.85,consensus,DOB_WEAK;LOW_SCORE_ANCHOR;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,4.89
b8d3b92ef349c533,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,8.38
1ec3464e123104db,MATCH,0.85,consensus,DOB_STRONG;MUNICIPALITY_STRONG;NAME_STRONG;MODEL_AMBIGUOUS;MOTHER_MISSING,16.06
8e033c2a45d0a231,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,5.34
47dd801f8ce1b9fc,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG,5.97
584936fe86a2eb97,NONMATCH,0.75,consensus,DOB_WEAK;LOW_SCORE_ANCHOR;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,26.61
b919f219bae1d0f1,MATCH,0.85,consensus,NAME_STRONG;DOB_STRONG;MUNICIPALITY_STRONG;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.14
d20f70b5e86ff3f5,NONMATCH,0.75,consensus,LOW_SCORE_ANCHOR;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,28.73
9ad9fbbb16354909,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,8.27
11ed50f9abb41a38,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,16.3
c76d75e46478adc9,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,7.81
b78f739937ce2280,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.59
6b23b0374179868a,NONMATCH,0.75,consensus,DOB_WEAK;MODEL_AMBIGUOUS;LOW_SCORE_ANCHOR;CONFLICTING_SIGNALS,6.39
ad022c39f37fed83,NONMATCH,0.85,consensus,DOB_WEAK;LOW_SCORE_ANCHOR;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,10.16
669d9d34b99cd0b7,NONMATCH,0.85,consensus,DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS;NAME_STRONG;MOTHER_STRONG,7.61
5c910c90641eb0ab,NONMATCH,0.85,consensus,LOW_SCORE_ANCHOR;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,7.33
38d0e2547e2a7c23,NONMATCH,0.75,consensus,LOW_SCORE_ANCHOR;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.75
d2007e9d4a70bb77,NONMATCH,0.85,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,8.94
d85071cb46e03260,NONMATCH,0.85,consensus,NAME_STRONG;DOB_WEAK;MODEL_AMBIGUOUS;CONFLICTING_SIGNALS,6.88
